,Correlation
tta_ROCR_timeperiod_35,0.093096
tta_ROC_timeperiod_27,0.092896
tta_TRIX_timeperiod_47,0.090504
tta_PPO_fastperiod_26_slowperiod_28,0.088245
tta_PPO_fastperiod_41_slowperiod_34,0.085577
tta_DX_timeperiod_48,0.08495
tta_ADX_timeperiod_26,0.080271
tta_ADXR_timeperiod_34,0.075235
tta_MINUS_DI_timeperiod_46,0.072734
tta_ULTOSC_timeperiod1_54_timeperiod2_59_timeperiod3_57,0.054975
tta_MFI_timeperiod_37,0.050598
tta_MFI_timeperiod_26,0.046731
tta_PLUS_DI_timeperiod_57,0.045038
tta_STOCH_fastk_period_32_slowk_period_57_slowd_period_55,0.044028
tta_AROON_timeperiod_53,0.043535
tta_AROONOSC_timeperiod_50,0.042334
tta_STOCH_fastk_period_24_slowk_period_27_slowd_period_6,0.041604
tta_ULTOSC_timeperiod1_29_timeperiod2_29_timeperiod3_29,0.039459
tta_WILLR_timeperiod_51,0.037031
tta_STOCHF_fastk_period_30_fastd_period_4,0.034194
tta_PLUS_DM_timeperiod_58,0.033342
tta_CCI_timeperiod_20,0.032353
tta_AROON_timeperiod_22,0.029506
tta_STOCHRSI_timeperiod_59_fastk_period_59_fastd_period_51,0.026337
tta_AROONOSC_timeperiod_14,0.024378
tta_MACDEXT_fastperiod_48_slowperiod_44_signalperiod_59,0.023798
tta_MACD_fastperiod_52_slowperiod_51_signalperiod_34,0.023186
tta_APO_fastperiod_18_slowperiod_26,0.021593
tta_STOCHRSI_timeperiod_27_fastk_period_5_fastd_period_20,0.02104
tta_BOP,0.018677
